Particulars,Frequency,Unit,3-1993,3-1994,3-1995,3-1996,3-1997,3-1998,3-1999,3-2000,3-2001,3-2002,3-2003,3-2004,3-2005,3-2006,3-2007,3-2008,3-2009,3-2010,3-2011,3-2012,3-2013,3-2014
Agricultural Production Yield,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,,1652.0,1715.0,1756.0,1860.0,1909.0,1798.0,1930.0,2078.0,2128.0,2095.0
Agricultural Production Kharif Area,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,,72.26,72.72,72.67,73.58,71.45,69.51,72.42,72.08,67.7,69.4
Agricultural Production Kharif Volume,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,117.0,103.31,109.87,110.58,121.0,118.18,104.0,120.9,131.27,128.2,
Agricultural Production Kharif Yield,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,,1430.0,1511.0,1522.0,1644.0,1654.0,1496.0,1669.0,1822.0,1892.0,1864.0
Agricultural Production Rabi Area,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,,,47.82,48.88,51.04,50.49,51.39,51.83,54.25,52.67,53.1,56.8
Agricultural Production Rabi Volume,"Annual, Ending mar Of Each Year",Ton mn,,,,,,,,,,,,96.19,95.05,98.73,106.71,109.77,116.28,114.11,123.6,128.01,127.16,
Agricultural Production Rabi Yield,"Annual, Ending mar Of Each Year",kg/ha,,,,,,,,,,,,,1988.0,2020.0,2091.0,2174.0,2263.0,2202.0,2278.0,2430.0,2431.0,2378.0
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Total,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,122.0,120.8,120.8,120.35,120.54,122.58,122.46,122.71,123.74,123.93,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,74.1,72.7,73.3,72.64,72.33,73.33,72.53,71.97,71.94,71.81,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,47.9,48.1,47.5,47.71,48.21,49.25,49.93,50.74,51.8,52.13,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Total,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,29.8,29.0,29.4,29.08,28.91,29.22,28.54,28.28,28.15,27.67,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,23.1,22.5,22.9,22.65,22.55,22.96,22.22,21.97,21.86,21.51,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,6.7,6.5,6.5,6.43,6.36,6.25,6.32,6.31,6.29,6.16,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Total,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,44.8,43.9,43.7,42.85,42.63,43.18,43.77,43.77,43.61,43.65,,
Agricultural Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,40.6,39.9,39.9,39.12,38.91,39.2,39.51,39.36,39.11,39.22,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Rice Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,4.2,4.0,3.8,3.73,3.72,3.98,4.26,4.41,4.5,4.43,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Wheat Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,26.4,26.4,26.3,26.2,26.53,27.1,27.33,27.75,28.26,28.64,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Total,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,10.0,9.8,9.7,9.24,8.97,8.67,8.31,8.05,7.79,7.34,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,4.7,4.7,4.6,4.21,4.06,3.91,3.6,3.43,3.29,3.06,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Jowar Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,5.3,5.1,5.1,5.03,4.91,4.75,4.71,4.62,4.5,4.28,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Bajra Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,9.4,9.0,9.3,9.34,9.33,9.7,9.33,9.26,9.27,9.12,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Total,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,6.6,6.5,6.7,7.12,7.38,7.67,7.84,8.01,8.2,8.38,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,5.9,5.8,6.0,6.37,6.58,6.8,6.87,6.96,7.06,7.15,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Coarse Cereals Maize Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,0.7,0.7,0.7,0.75,0.8,0.87,0.97,1.05,1.14,1.23,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Total,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,21.0,21.4,21.5,22.22,22.46,23.09,22.81,22.92,23.73,23.97,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Kharif,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,10.4,10.2,10.6,10.87,10.86,11.17,10.79,10.65,10.98,11.08,,
Agriculture Production Foodgrains Area 5 Yr Avg Foodgrains Pulses Rabi,"Annual, Ending mar Of Each Year",ha mn,,,,,,,,,,,10.6,11.2,10.9,11.35,11.6,11.92,12.02,12.27,12.75,12.9,,
